loc,link/_rel,link/_media,link/_href,priority
https://www.kitapyurdu.com/kitap/dubrovski/101487.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101487,1.0
https://www.kitapyurdu.com/kitap/birikim--sayi-223-yil-2007--aylik-sosyalist-kultur-dergisi/101488.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101488,1.0
https://www.kitapyurdu.com/kitap/turkiyede-adak-ve-adak-yerleri/101489.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101489,1.0
https://www.kitapyurdu.com/kitap/bask-meselesi-bir-tarih-bir-otonomi-bir-sorun/101490.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101490,1.0
https://www.kitapyurdu.com/kitap/belgesel-fotograf-ve-fotoroportaj/101491.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101491,1.0
https://www.kitapyurdu.com/kitap/yuzyillarin-gercegi-ve-mirasi-v-cilt/101492.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101492,1.0
https://www.kitapyurdu.com/kitap/yuzyillarin-gercegi-ve-mirasi-iv-cilt/101493.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101493,1.0
https://www.kitapyurdu.com/kitap/yuzyillarin-gercegi-ve-mirasi-vi-cilt/101494.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101494,1.0
https://www.kitapyurdu.com/kitap/abdulaziz-bin-suud--arabistan-kralinin-yasam-oykusu/101495.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101495,1.0
https://www.kitapyurdu.com/kitap/asitane-efsaneleri/101496.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101496,1.0
https://www.kitapyurdu.com/kitap/cemile-serisi-15-kitaplik-takim-tombis-oyuncak-ayi-hediyeli/101497.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101497,1.0
https://www.kitapyurdu.com/kitap/tassos-papadopoulos-valley-of-the-greek-cypriots-in-cyprus/101498.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101498,1.0
https://www.kitapyurdu.com/kitap/1001-dogal-recete/101499.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101499,1.0
https://www.kitapyurdu.com/kitap/kantin-felsefesi/101500.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101500,1.0
https://www.kitapyurdu.com/kitap/kpssegitim-bilimleri-seti-8-kitap/101501.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101501,1.0
https://www.kitapyurdu.com/kitap/yuzyillarin-gercegi-ve-mirasi-ii-cilt/101502.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101502,1.0
https://www.kitapyurdu.com/kitap/bir-insanlik-hakki-konut/101503.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101503,1.0
https://www.kitapyurdu.com/kitap/turkiyede-islamci-kitle-seferberligi/101504.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101504,1.0
